Quarter,Type of Offence,VALUE
2003Q1,Dangerous driving causing serious bodily harm,4
2003Q2,Dangerous driving causing serious bodily harm,4
2003Q3,Dangerous driving causing serious bodily harm,9
2003Q4,Dangerous driving causing serious bodily harm,3
2004Q1,Dangerous driving causing serious bodily harm,13
2004Q2,Dangerous driving causing serious bodily harm,6
2004Q3,Dangerous driving causing serious bodily harm,3
2004Q4,Dangerous driving causing serious bodily harm,7
2005Q1,Dangerous driving causing serious bodily harm,6
2005Q2,Dangerous driving causing serious bodily harm,5
2005Q3,Dangerous driving causing serious bodily harm,3
2005Q4,Dangerous driving causing serious bodily harm,8
2006Q1,Dangerous driving causing serious bodily harm,6
2006Q2,Dangerous driving causing serious bodily harm,8
2006Q3,Dangerous driving causing serious bodily harm,5
2006Q4,Dangerous driving causing serious bodily harm,5
2007Q1,Dangerous driving causing serious bodily harm,6
2007Q2,Dangerous driving causing serious bodily harm,9
2007Q3,Dangerous driving causing serious bodily harm,8
2007Q4,Dangerous driving causing serious bodily harm,3
2008Q1,Dangerous driving causing serious bodily harm,8
2008Q2,Dangerous driving causing serious bodily harm,5
2008Q3,Dangerous driving causing serious bodily harm,3
2008Q4,Dangerous driving causing serious bodily harm,2
2009Q1,Dangerous driving causing serious bodily harm,7
2009Q2,Dangerous driving causing serious bodily harm,3
2009Q3,Dangerous driving causing serious bodily harm,6
2009Q4,Dangerous driving causing serious bodily harm,1
2010Q1,Dangerous driving causing serious bodily harm,6
2010Q2,Dangerous driving causing serious bodily harm,6
2010Q3,Dangerous driving causing serious bodily harm,5
2010Q4,Dangerous driving causing serious bodily harm,2
2011Q1,Dangerous driving causing serious bodily harm,5
2011Q2,Dangerous driving causing serious bodily harm,3
2011Q3,Dangerous driving causing serious bodily harm,5
2011Q4,Dangerous driving causing serious bodily harm,0
2012Q1,Dangerous driving causing serious bodily harm,2
2012Q2,Dangerous driving causing serious bodily harm,2
2012Q3,Dangerous driving causing serious bodily harm,2
2012Q4,Dangerous driving causing serious bodily harm,1
2013Q1,Dangerous driving causing serious bodily harm,5
2013Q2,Dangerous driving causing serious bodily harm,2
2013Q3,Dangerous driving causing serious bodily harm,4
2013Q4,Dangerous driving causing serious bodily harm,1
2014Q1,Dangerous driving causing serious bodily harm,5
2014Q2,Dangerous driving causing serious bodily harm,4
2014Q3,Dangerous driving causing serious bodily harm,2
2014Q4,Dangerous driving causing serious bodily harm,2
2015Q1,Dangerous driving causing serious bodily harm,4
2015Q2,Dangerous driving causing serious bodily harm,5
2015Q3,Dangerous driving causing serious bodily harm,2
2015Q4,Dangerous driving causing serious bodily harm,1
2016Q1,Dangerous driving causing serious bodily harm,3
2016Q2,Dangerous driving causing serious bodily harm,4
2016Q3,Dangerous driving causing serious bodily harm,2
2016Q4,Dangerous driving causing serious bodily harm,0
2017Q1,Dangerous driving causing serious bodily harm,4
2017Q2,Dangerous driving causing serious bodily harm,5
2017Q3,Dangerous driving causing serious bodily harm,4
2017Q4,Dangerous driving causing serious bodily harm,1
2018Q1,Dangerous driving causing serious bodily harm,3
2018Q2,Dangerous driving causing serious bodily harm,8
2018Q3,Dangerous driving causing serious bodily harm,7
2018Q4,Dangerous driving causing serious bodily harm,13
2019Q1,Dangerous driving causing serious bodily harm,13
2019Q2,Dangerous driving causing serious bodily harm,16
2019Q3,Dangerous driving causing serious bodily harm,5
2019Q4,Dangerous driving causing serious bodily harm,7
2020Q1,Dangerous driving causing serious bodily harm,11
2020Q2,Dangerous driving causing serious bodily harm,2
2020Q3,Dangerous driving causing serious bodily harm,9
2020Q4,Dangerous driving causing serious bodily harm,7
2021Q1,Dangerous driving causing serious bodily harm,7
2021Q2,Dangerous driving causing serious bodily harm,14
2021Q3,Dangerous driving causing serious bodily harm,16
2021Q4,Dangerous driving causing serious bodily harm,19
2022Q1,Dangerous driving causing serious bodily harm,13
2022Q2,Dangerous driving causing serious bodily harm,14
2022Q3,Dangerous driving causing serious bodily harm,8
2022Q4,Dangerous driving causing serious bodily harm,15
2023Q1,Dangerous driving causing serious bodily harm,6
2023Q2,Dangerous driving causing serious bodily harm,5
